,label
959,-1
962,-1
964,-1
965,-1
970,-1
971,-1
972,-1
976,-1
977,-1
980,-1
981,-1
983,-1
990,-1
1005,-1
1006,-1
1018,-1
1022,-1
1023,-1
1025,-1
1027,-1
1030,-1
1032,-1
1034,-1
1040,-1
1043,-1
1044,-1
1050,-1
1061,-1
1066,-1
1070,-1
1071,-1
1072,-1
1073,-1
1079,-1
1080,-1
1091,-1
1094,-1
1097,-1
1098,-1
1110,-1
1112,-1
1118,-1
1129,-1
1130,-1
1132,-1
1143,-1
1144,-1
1152,-1
1154,-1
1166,-1
1169,-1
1177,-1
1180,-1
1183,-1
1185,-1
1189,-1
1191,-1
1195,-1
1197,-1
1207,-1
1224,-1
1229,-1
1234,-1
1242,-1
1245,-1
1256,-1
1262,-1
1269,-1
1270,-1
1274,-1
1277,-1
1280,-1
1288,1
1290,1
1291,1
1292,1
1294,1
1296,1
1297,1
1299,1
1300,1
1301,1
1303,1
1304,1
1305,1
1307,1
1309,1
1311,1
1312,1
1316,1
1318,1
1319,1
1323,1
1325,1
1331,1
1337,1
1339,1
1340,1
1342,1
1343,1
1344,1
1345,1
1346,1
1350,1
1351,1
1354,1
1355,1
1356,1
1362,1
1365,1
1367,1
1369,1
1370,1
1371,1
1372,1
1375,1
1379,1
1380,1
1383,1
1384,1
1388,1
1390,1
1391,1
1393,1
1395,1
1400,1
1401,1
1402,1
1405,1
1406,1
1408,1
1411,1
1412,1
1416,1
1417,1
1418,1
1419,1
1421,1
1422,1
1425,1
1428,1
1429,1
1432,1
1435,1
1436,1
1439,1
1441,1
1444,1
1445,1
1446,1
1448,1
1449,1
1450,1
1452,1
1454,1
1456,1
1457,1
1459,1
1461,1
1463,1
1465,1
1467,1
1468,1
1471,1
1473,1
1474,1
1475,1
1476,1
1478,1
1479,1
1480,1
1481,1
1482,1
1488,1
1489,1
1490,1
1492,1
1493,1
1495,1
1496,1
1497,1
1500,1
1503,1
1506,1
1507,1
1509,1
1510,1
1511,1
1516,1
1517,1
1519,1
1520,1
1524,1
1525,1
1530,1
1531,1
1533,1
1534,1
1536,1
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1545,1
1548,1
1549,1
1551,1
1553,1
1556,1
1558,1
1560,1
1563,1
1566,1
1568,1
1571,1
1572,1
1573,1
1578,1
1579,1
1581,1
1585,1
1586,1
1587,1
1588,1
1590,1
1591,1
1595,1
1602,1
1603,1
1606,1
1610,1
1612,1
1614,1
1619,1
1620,1
1621,1
1625,1
1626,1
1630,1
1631,1
1633,1
1635,1
1639,1
1640,1
1641,1
1645,1
1648,1
1649,1
1650,1
1651,1
1657,1
1658,1
1663,1
1664,1
1665,1
1666,1
1669,1
1673,1
1675,1
1676,1
1679,1
1682,1
1683,1
1684,1
1686,1
1687,1
1689,1
1690,1
1691,1
1693,1
1694,1
1695,1
1696,1
1697,1
1700,1
1704,1
1705,1
1708,1
1710,1
1711,1
1715,1
1717,1
1718,1
1721,1
1722,1
1723,1
1729,1
1730,1
1731,1
1733,1
1736,1
1737,1
1741,1
1743,1
1745,1
1747,1
1749,1
1750,1
1752,1
1754,1
1755,1
1756,1
1757,1
1758,1
1760,1
1762,1
1764,1
1765,1
1767,1
1768,1
1769,1
1771,1
1772,1
1775,1
1776,1
1777,1
1782,1
1784,1
1785,1
1786,1
1787,1
1791,1
1794,1
1795,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,1
1806,1
1809,1
1811,1
1812,1
1813,1
1814,1
1815,1
1816,1
1819,1
1820,1
1822,1
1824,1
1825,1
1827,1
1829,1
1830,1
1831,1
1834,1
1835,1
1837,1
1838,1
1841,1
1842,1
1847,1
1848,1
1851,1
1854,1
1855,1
1857,1
1858,1
1859,1
1860,1
1861,1
1865,1
1868,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1878,1
1881,1
1882,1
1883,1
1887,1
1888,1
1889,1
1890,1
1892,1
1893,1
1894,1
1896,1
1897,1
1899,1
1902,1
1903,1
1906,1
1907,1
1908,1
1909,1
1910,1
1911,1
1912,1
1913,1
1914,1
1915,1
1916,1
1918,1
1919,1
1920,1
1921,1
1923,1
1924,1
1925,1
1929,1
1930,1
1934,1
1937,1
1939,1
1940,1
1941,1
1943,1
1945,1
1946,1
1947,1
1949,1
1950,1
1951,1
1952,1
1953,1
1956,1
1957,1
1959,1
1960,1
1962,1
1963,1
1964,1
1965,1
1966,1
1970,1
1973,1
1974,1
1975,1
1977,1
1980,1
1981,1
1984,1
1990,1
1991,1
1994,1
1995,1
1996,1
1997,1
1999,1
2001,1
2002,1
2004,1
2005,1
2006,1
2009,1
2010,1
2013,1
2014,1
2015,1
2016,1
2020,1
2021,1
2023,1
2024,1
2025,1
2027,1
2028,1
2029,1
2030,1
2032,1
2034,1
2035,1
2037,1
2038,1
2040,1
2042,1
2046,1
2047,1
2048,1
2049,1
2050,1
2051,1
2053,1
2054,1
2055,1
2056,1
2057,1
2059,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2069,1
2070,1
2071,1
2072,1
2074,1
2075,1
2076,1
2078,1
2079,1
2080,1
2083,1
2084,1
2085,1
2086,1
2087,1
2091,1
2094,1
2095,1
2096,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,1
2105,1
2106,1
2109,1
2110,1
2111,1
2112,1
2114,1
2115,1
2116,1
2117,1
2118,1
2121,1
2122,1
2124,1
2126,1
2127,1
2129,1
2131,1
2134,1
2136,1
2137,1
2139,1
2141,1
2143,1
2145,1
2149,1
2151,1
2156,1
2158,1
2160,1
2161,1
2162,1
2167,1
2169,1
2171,1
2173,1
2175,1
2176,1
2177,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2188,1
2191,1
2192,1
2193,1
2194,1
2195,1
2196,1
2197,1
2198,1
2199,1
2201,1
2203,1
2205,1
2207,1
2209,1
2211,1
2212,1
2213,1
2214,1
2216,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2225,1
2228,1
2229,1
2230,1
2231,1
2232,1
2233,1
2234,1
2237,1
2238,1
2239,1
2240,1
2241,1
2242,1
2244,1
2245,1
2246,1
2249,1
2250,1
2258,1
2262,1
2264,1
2265,1
2267,1
2269,1
2270,1
2272,1
2274,1
2276,1
2277,1
2278,1
2279,1
2280,1
2283,1
2286,1
2288,1
2289,1
2291,1
2292,1
2293,1
2295,1
2296,1
2297,1
2299,1
2303,1
2304,1
2305,1
2307,1
2309,1
2313,1
2314,1
2315,1
2318,1
2320,1
2321,1
2322,1
2323,1
2325,1
2326,1
2328,1
2330,1
2331,1
2336,1
2337,1
2339,1
2340,1
2342,1
2343,1
2344,1
2345,1
2348,1
2351,1
2352,1
2353,1
2355,1
2356,1
2357,1
2358,1
2361,1
2362,1
2363,1
2364,1
2365,1
2368,1
2369,1
2371,1
2373,1
2374,1
2376,1
2377,1
2379,1
2381,1
2382,1
2383,1
2387,1
2388,1
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2397,1
2398,1
2402,1
2404,1
2405,1
2407,1
2409,1
2412,1
2413,1
2414,1
2418,1
2420,1
2424,1
2426,1
2427,1
2429,1
2430,1
2433,1
2435,1
2436,1
2437,1
2439,1
2440,1
2441,1
2443,1
2445,1
2446,1
2448,1
2449,1
2450,1
2456,1
2457,1
2458,1
2460,1
2462,1
2463,1
2464,1
2465,1
2466,1
2468,1
2469,1
2470,1
2472,1
2475,1
2476,1
2477,1
2480,1
2481,1
2482,1
2483,1
2484,1
2486,1
2490,1
2493,1
2496,1
2497,1
2501,1
2502,1
2504,1
2505,1
2507,1
2508,1
2513,1
2514,1
2516,1
2524,1
2525,1
2527,1
2528,1
2531,1
2534,1
2535,1
2539,1
2540,1
2543,1
2544,1
2546,1
2547,1
2548,1
2549,1
2551,1
2553,1
2554,1
2555,1
2556,1
2558,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,1
2567,1
2568,1
2569,1
2570,1
2571,1
2573,1
2574,1
2575,1
2576,1
2577,1
2578,1
2579,1
2580,1
2581,1
2584,1
2585,1
2586,1
2588,1
2589,1
2591,1
2592,1
2594,1
2596,1
2597,1
2598,1
2599,1
2600,1
2601,1
2602,1
2604,1
2606,1
2607,1
2609,1
2612,1
2613,1
2614,1
2615,1
2616,1
2619,1
2623,1
2624,1
2625,1
2627,1
2628,1
2629,1
2631,1
2632,1
2634,1
2636,1
2637,1
2638,1
2640,1
2642,1
2644,1
2645,1
2646,1
2649,1
2650,1
2651,1
2652,1
2653,1
2654,1
2655,1
2656,1
2657,1
2659,1
2660,1
2662,1
2663,1
2664,1
2666,1
2669,1
2671,1
2672,1
2674,1
2675,1
2676,1
2677,1
2678,1
2679,1
2680,1
2682,1
2683,1
2684,1
2685,1
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2696,1
2697,1
2699,1
2700,1
2703,1
2706,1
2707,1
2709,1
2712,1
2713,1
2714,1
2715,1
2718,1
2721,1
2723,1
2726,1
2727,1
2729,1
2730,1
2731,1
2734,1
2737,1
2738,1
2740,1
2741,1
2742,1
2744,1
2746,1
2748,1
2749,1
2753,1
2756,1
2757,1
2760,1
2762,1
2763,1
2764,1
2766,1
2767,1
2768,1
2773,1
2776,1
2777,1
2778,1
2779,1
2780,1
2781,1
2782,1
2783,1
2785,1
2786,1
2789,1
2791,1
2793,1
2794,1
2796,1
2798,1
2799,1
2801,1
2803,1
2807,1
2808,1
2809,1
2811,1
2813,1
2816,1
2818,1
2820,1
2821,1
2822,1
2823,1
2824,1
2827,1
2828,1
2829,1
2830,1
2832,1
2833,1
2835,1
2836,1
2837,1
2838,1
2839,1
2842,1
2843,1
2845,1
2846,1
2847,1
2848,1
2850,1
2851,1
2852,1
2853,1
2854,1
2855,1
2856,1
2857,1
2863,1
2866,1
2867,1
2868,1
2869,1
2870,1
2871,1
2872,1
2873,1
2874,1
2878,1
2879,1
2880,1
2882,1
2883,1
2884,1
2885,1
2886,1
2887,1
2888,1
2889,1
2893,1
2894,1
2895,1
2897,1
2899,1
2902,1
2903,1
2904,1
2906,1
2907,1
2909,1
2912,1
2914,1
2915,1
2916,1
2917,1
2919,1
2920,1
2921,1
2922,1
2923,1
2925,1
2926,1
2928,1
2930,1
2931,1
2933,1
2934,1
2935,1
2936,1
2937,1
2941,1
2942,1
2943,1
2944,1
2945,1
2949,1
2950,1
2952,1
2955,1
2956,1
2959,1
2962,1
2963,1
2964,1
2965,1
2966,1
2969,1
2970,1
2971,1
2972,1
2973,1
2974,1
2975,1
2976,1
2978,1
2979,1
2981,1
2982,1
2983,1
2984,1
2985,1
2986,1
2988,1
2989,1
2992,1
2993,1
2995,1
2998,1
3000,1
3001,1
3002,1
3004,1
3006,1
3012,1
3014,1
3015,1
3016,1
3018,1
3020,1
3021,1
3022,1
3023,1
3024,1
3025,1
3028,1
3030,1
3032,1
3035,1
3037,1
3038,1
3041,1
3042,1
3045,1
3046,1
3047,1
3048,1
3049,1
3050,1
3051,1
3052,1
3053,1
3054,1
3056,1
3058,1
3061,1
3063,1
3064,1
3065,1
3067,1
3070,1
3071,1
3072,1
3073,1
3075,1
3076,1
3077,1
3078,1
3079,1
3080,1
3082,1
3084,1
3085,1
3086,1
3087,1
3088,1
3089,1
3092,1
3093,1
3094,1
3095,1
3096,1
3097,1
3099,1
3104,1
3108,1
3109,1
3111,1
3112,1
3113,1
3115,1
3116,1
3118,1
3119,1
3120,1
3121,1
3122,1
3124,1
3125,1
3126,1
3127,1
3128,1
3130,1
3131,1
3134,1
3135,1
3136,1
3137,1
3138,1
3139,1
3140,1
3141,1
3142,1
3144,1
3150,1
3151,1
3153,1
3154,1
3155,1
3157,1
3158,1
3159,1
3161,1
3163,1
3165,1
3166,1
3169,1
3170,1
3171,1
3172,1
3173,1
3174,1
3175,1
3176,1
3177,1
3178,1
3179,1
3181,1
3185,1
3186,1
3187,1
3189,1
3190,1
3191,1
3193,1
3194,1
3195,1
3197,1
3198,1
3199,1
3201,1
3202,1
3203,1
3205,1
3207,1
3208,1
3211,1
3212,1
3213,1
3215,1
3216,1
3219,1
3220,1
3221,1
3223,1
3225,1
3226,1
3227,1
3228,1
3229,1
3230,1
3231,1
3232,1
3233,1
3234,1
3235,1
3237,1
3239,1
3240,1
3243,1
3244,1
3246,1
3247,1
3248,1
3250,1
3264,-1
3266,-1
3270,1
3271,1
3272,1
3273,1
3274,1
3275,1
3277,1
3280,1
3283,1
3284,1
3285,1
3286,1
3287,1
3289,1
3290,1
3291,1
3292,1
3296,1
3298,1
3300,1
3303,1
3304,1
3306,1
3307,1
3308,1
3309,1
3310,1
3311,1
3314,1
3315,1
3317,1
3318,1
3320,1
3321,1
3322,1
3323,1
3326,1
3328,1
3329,1
3330,1
3331,1
3332,1
3333,1
3337,1
3338,1
3339,1
3341,1
3342,1
3343,1
3345,1
3346,1
3348,1
3349,1
3351,1
3354,1
3355,1
3357,1
3358,1
3359,1
3360,1
3362,1
3363,1
3364,1
3365,1
3366,1
3368,1
3369,1
3370,1
3373,1
3374,1
3375,1
3376,1
3377,1
3378,1
3380,1
3381,1
3382,1
3383,1
3392,1
3393,1
3394,1
3395,1
3396,1
3397,1
3399,1
3401,1
3402,1
3404,1
3405,1
3417,-1
3421,-1
3424,1
3426,1
3427,1
3430,1
3433,1
3434,1
3435,1
3437,1
3438,1
3440,1
3441,1
3442,1
3443,1
3444,1
3447,1
3448,1
3449,1
3450,1
3452,1
3454,1
3456,1
3458,1
3460,1
3462,1
3464,1
3465,1
3466,1
3468,1
3469,1
3470,1
3473,1
3474,1
3476,1
3478,1
3480,1
3481,1
3484,-1
3485,-1
3488,-1
3494,-1
3499,1
3500,1
3502,1
3505,1
3506,1
3507,1
3508,1
3513,1
3514,1
3515,1
3519,1
3523,1
3524,1
3530,-1
3531,-1
3533,-1
3540,1
3541,1
3543,1
3545,1
3547,1
3549,1
3550,1
3551,1
3554,1
3556,1
3558,1
3561,1
3565,1
3567,1
3568,1
3569,1
3571,1
3572,1
3573,1
3574,1
3575,1
3576,1
3577,1
3579,1
3580,1
3582,1
3584,1
3585,1
3587,1
3588,1
3589,1
3590,1
3592,1
3593,1
3594,1
3595,1
3596,1
3597,1
3599,1
3600,1
3601,1
3603,1
3604,1
3606,1
3607,1
3608,1
3609,1
3610,1
3611,1
3612,1
3613,1
3614,1
3615,1
3616,1
3618,1
3621,1
3624,1
3625,1
3628,1
3629,1
3630,1
3632,1
3633,1
3634,1
3635,1
3636,1
3637,1
3638,1
3639,1
3640,1
3641,1
3642,1
3643,1
3644,1
3645,1
3649,1
3651,1
3653,1
3656,1
3657,1
3658,1
3661,1
3662,1
3663,1
3664,1
3665,1
3666,1
3667,1
3668,1
3669,1
3670,1
3671,1
3672,1
3673,1
3674,1
3675,1
3676,1
3677,1
3678,1
3679,1
3680,1
3684,-1
3687,-1
3690,-1
3691,-1
3693,-1
3694,1
3696,1
3697,1
3698,1
3699,1
3700,1
3702,1
3705,1
3707,1
3709,1
3710,1
3713,1
3714,1
3715,1
3716,1
3717,1
3718,1
3722,1
3723,1
3726,1
3727,1
3728,1
3729,1
3730,1
3731,1
3732,1
3733,1
3734,1
3735,1
3736,1
3737,1
3739,1
3740,1
3741,1
3744,1
3745,1
3746,1
3747,1
3748,1
3749,1
3750,1
3751,1
3752,1
3753,1
3754,1
3755,1
3756,-1
3763,1
3764,1
3765,1
3766,1
3768,1
3769,1
3770,1
3771,1
3774,1
3776,1
3777,1
3778,1
3780,1
3782,1
3783,1
3784,1
3789,-1
3799,-1
3803,1
3808,1
3809,1
3812,1
3813,1
3814,1
3818,1
3819,1
3822,1
3824,1
3826,1
3828,1
3829,1
3830,1
3834,1
3838,1
3840,1
3841,1
3846,1
3847,1
3851,1
3852,1
3855,1
3856,1
3860,1
3863,1
3865,1
3866,1
3869,1
3870,1
3872,1
3873,1
3878,1
3879,1
3881,1
3882,1
3883,1
3884,1
3885,1
3886,1
3887,1
3890,1
3891,1
3892,1
3893,1
3894,1
3897,1
3899,1
3900,1
3901,1
3902,1
3904,1
3905,1
3906,1
3907,1
3908,1
3909,1
3911,1
3912,1
3913,1
3914,1
3915,1
3916,1
3918,1
3919,1
3920,1
3921,1
3922,1
3924,1
3925,1
3926,1
3929,1
3931,1
3933,1
3934,1
3937,1
3939,1
3940,1
3941,1
3942,1
3947,1
3949,1
3950,1
3951,1
3955,1
3957,1
3960,1
3961,1
3962,1
3963,1
3964,1
3968,1
3969,1
3970,1
3971,1
3973,1
3974,1
3975,1
3976,1
3977,1
3983,-1
3990,-1
3999,1
4002,1
4005,1
4007,1
4009,1
4011,1
4012,1
4014,1
4015,1
4017,1
4019,1
4020,1
4021,1
4022,1
4033,1
4034,1
4035,1
4036,1
4038,1
4040,1
4044,1
4045,1
4047,1
4050,1
4051,1
4054,1
4056,1
4059,1
4060,1
4062,1
4065,1
4066,1
4069,1
4070,1
4071,1
4072,1
4075,1
4077,1
4080,1
4081,1
4083,1
4084,1
4085,1
4086,1
4089,1
4093,1
4095,1
4096,1
4098,1
4101,1
4102,1
4105,1
4107,1
4108,1
4109,1
4110,1
4111,1
4112,1
4114,1
4115,1
4116,1
4117,1
4121,1
4124,1
4125,1
4126,1
4133,1
4135,1
4136,1
4138,1
4140,1
4145,-1
4149,-1
4157,-1
4159,-1
4160,-1
4162,-1
4165,-1
4173,-1
4181,-1
4195,-1
4200,-1
4215,1
4216,1
4218,1
4221,1
4222,1
4223,1
4224,1
4225,1
4226,1
4227,1
4230,1
4232,1
4233,1
4235,1
4236,1
4237,1
4238,1
4240,1
4241,1
4242,1
4244,1
4245,1
4246,1
4248,1
4249,1
4250,1
4254,1
4256,1
4258,1
4259,1
4262,1
4264,1
4267,1
4270,1
4276,1
4277,1
4279,1
4280,1
4283,1
4284,1
4285,1
4286,1
4291,1
4293,1
4294,1
4295,1
4296,1
4297,1
4302,1
4303,1
4304,1
4305,1
4307,1
4308,1
4309,1
4310,1
4311,1
4312,1
4313,1
4319,1
4320,1
4321,1
4323,1
4325,1
4329,1
4333,1
4335,1
4339,1
4340,1
4344,1
4346,1
4348,1
4351,1
4354,1
4357,1
4359,1
4360,1
4362,1
4363,1
4364,1
4365,1
4366,1
4367,1
4370,1
4371,1
4372,1
4373,1
4374,1
4376,1
4383,1
4385,1
4389,1
4390,1
4391,1
4392,1
4394,1
4396,1
4397,1
4399,1
4400,1
4401,1
4403,1
4404,1
4406,1
4407,1
4409,1
4410,1
4412,1
4413,1
4414,1
4415,1
4416,1
4417,1
4422,1
4424,1
4425,1
4426,1
4427,1
4428,1
4431,1
4432,1
4434,1
4435,1
4436,1
4437,1
4439,1
4443,1
4446,1
4447,1
4449,1
4451,1
4454,1
4456,1
4459,1
4462,1
4464,1
4465,1
4466,1
4468,1
4473,1
4474,1
4475,1
4477,1
4478,1
4480,1
4481,1
4482,1
4485,1
4488,1
4489,1
4490,1
4491,1
4493,1
4494,1
4497,1
4498,1
4499,1
4500,1
4503,1
4505,1
4506,1
4507,1
4508,1
4509,1
4510,1
4511,1
4512,1
4513,1
4515,1
4516,1
4518,1
4519,1
4521,1
4522,1
4523,1
4524,1
4527,1
4528,1
4530,1
4531,1
4532,1
4533,1
4534,1
4535,1
4536,1
4537,1
4538,1
4539,1
4541,1
4547,1
4548,1
4550,1
4551,1
4552,1
4553,1
4554,1
4556,1
4557,1
4558,1
4559,1
4560,1
4562,1
4563,1
4564,1
4565,1
4567,1
4569,1
4571,1
4572,1
4573,1
4575,1
4576,1
4577,1
4578,1
4581,1
4582,1
4586,1
4587,1
4588,1
4589,1
4590,1
4591,1
4592,1
4593,1
4594,1
4595,1
4596,1
4597,1
4598,1
4599,1
4600,1
4601,1
4602,1
4603,1
4604,1
4607,1
4608,1
4609,1
4610,1
4612,1
4613,1
4615,1
4616,1
4617,1
4618,1
4619,1
4620,1
4621,1
4622,1
4623,1
4624,1
4625,1
4626,1
4627,1
4628,1
4629,1
4630,1
4631,1
4632,1
4633,1
4635,1
4636,1
4638,1
4639,1
4640,1
4641,1
4642,1
4643,1
4645,1
4647,1
4648,1
4651,1
4652,1
4656,1
4658,1
4659,1
4660,1
4661,1
4662,1
4664,1
4667,1
4668,1
4669,1
4672,1
4674,1
4675,1
4676,1
4677,1
4679,1
4681,1
4682,1
4683,1
4684,1
4687,1
4688,1
4691,1
4692,1
4693,1
4694,1
4695,1
4696,1
4697,1
4698,1
4699,1
4700,1
4701,1
4703,1
4705,1
4707,1
4708,1
4710,1
4711,1
4714,1
4715,1
4716,1
4717,1
4720,1
4722,1
4723,1
4725,1
4726,1
4727,1
4728,1
4730,1
4732,1
4734,1
4735,1
4741,1
4742,1
4745,1
4746,1
4747,1
4749,1
4750,1
4751,1
4752,1
4757,1
4758,1
4759,1
4761,1
4762,1
4763,1
4764,1
4766,1
4767,1
4769,1
4770,1
4774,1
4775,1
4776,1
4780,1
4781,1
4782,1
4783,1
4784,1
4785,1
4786,1
4787,1
4789,1
4791,1
4792,1
4793,1
4794,1
4795,1
4796,1
4797,1
4798,1
4799,1
4800,1
4801,1
4804,1
4806,1
4807,1
4808,1
4811,1
4812,1
4813,1
4815,1
4817,1
4818,1
4821,1
4822,1
4825,1
4828,1
4829,1
4830,1
4832,1
4836,1
4837,1
4838,1
4839,1
4841,1
4842,1
4843,1
4849,1
4852,1
4853,1
4854,1
4856,1
4857,1
4858,1
4859,1
4862,1
4863,1
4864,1
4865,1
4866,1
4867,1
4868,1
4872,1
4874,1
4875,1
4877,1
4880,1
4881,1
4882,1
4884,1
4886,1
4887,1
4888,1
4891,1
4892,1
4894,1
4896,1
4897,1
4898,1
4899,1
4900,1
4901,1
4905,1
4908,1
4909,1
4911,1
4912,1
4913,1
4915,1
4916,1
4918,1
4920,1
4921,1
4922,1
4923,1
4924,1
4927,1
4928,1
4929,1
4930,1
4931,1
4932,1
4933,1
4934,1
4935,1
4937,1
4938,1
4939,1
4940,1
4941,1
4942,1
4944,1
4946,1
4948,1
4951,1
4952,1
4953,1
4954,1
4955,1
4956,1
4958,1
4959,1
4960,1
4961,1
4963,-1
4973,1
4975,1
4976,1
4979,1
4980,1
4981,1
4982,1
4984,-1
4985,-1
4990,-1
4994,1
4997,1
4999,1
5000,1
5001,1
5003,1
5005,1
5007,1
5008,1
5012,1
5014,1
5015,1
5016,1
5020,1
5022,1
5024,1
5025,1
5026,1
5027,1
5029,1
5030,1
5031,1
5032,1
5033,1
5034,1
5036,1
5037,1
5038,1
5040,1
5041,1
5052,-1
5061,1
5062,1
5063,1
5065,1
5071,1
5073,1
5075,1
5076,1
5078,1
5079,1
5082,1
5084,1
5086,1
5087,1
5088,1
5089,1
5092,1
5094,1
5095,1
5098,1
5100,1
5101,1
5102,1
5103,1
5104,1
5105,1
5107,1
5108,1
5109,1
5112,1
5113,1
5114,1
5115,1
5119,1
5120,1
5121,1
5123,1
5125,1
5126,1
5127,1
5128,1
5129,1
5130,1
5131,1
5132,1
5133,1
5134,1
5135,1
5138,1
5139,1
5140,1
5141,1
5142,1
5143,1
5144,1
5145,1
5146,1
5147,1
5148,1
5150,1
5151,1
5153,1
5155,1
5175,-1
5176,-1
5178,1
5179,1
5180,1
5181,1
5182,1
5184,1
5185,1
5186,1
5187,1
5189,1
5190,1
5191,1
5192,1
5196,1
5197,1
5198,1
5199,1
5200,1
5204,-1
5219,1
5220,1
5221,1
5222,1
5225,1
5226,1
5227,1
5228,1
5230,1
5231,1
5232,1
5233,1
5235,1
5236,1
5237,1
5239,1
5240,1
5241,1
5242,1
5244,1
5245,1
5246,1
5247,1
5248,1
5249,1
5252,1
5254,1
5255,1
5256,1
5258,1
5259,1
5261,1
5262,1
5263,1
5264,1
5265,1
5267,1
5268,1
5271,1
5272,1
5273,1
5274,1
5275,1
5277,1
5278,1
5279,1
5280,1
5281,1
5282,1
5283,1
5284,1
5286,1
5287,1
5288,1
5291,1
5294,1
5295,1
5297,1
5298,1
5301,1
5302,1
5303,1
5305,1
5306,1
5307,1
5308,1
5309,1
5310,1
5311,1
5312,1
5313,1
5315,1
5316,1
5317,1
